[INFO ][memory ][Mon Oct 15 08:59:36 2018][1539586776075][39702] [OC#12479] 1529724.735-1529725.257: OC 15601600KB->4349005KB (25165824KB), 0.521 s, sum of pauses 479.179 ms, longest pause 479.179 ms.
[INFO ][memory ][Mon Oct 15 08:59:31 2018][1539586771218][22283] [OC#11056] 1529718.822-1529719.407: OC 15238845KB->4078410KB (25165824KB), 0.586 s, sum of pauses 545.241 ms, longest pause 545.241 ms.
[INFO ][memory ][Mon Oct 15 08:59:08 2018][1539586748325][31471] [OC#11101] 1529696.839-1529697.584: OC 16105677KB->4360700KB (25165824KB), 0.745 s, sum of pauses 697.823 ms, longest pause 697.823 ms.
[INFO ][memory ][Mon Oct 15 08:58:56 2018][1539586736779][22283] [YC#25591] 1529684.918-1529685.062: YC 17180469KB->9326940KB (25165824KB), 0.144 s, sum of pauses 142.869 ms, longest pause 142.869 ms.
[INFO ][memory ][Mon Oct 15 08:58:42 2018][1539586722677][39702] [YC#25437] 1529671.835-1529672.005: YC 15596147KB->7858314KB (25165824KB), 0.170 s, sum of pauses 167.597 ms, longest pause 167.597 ms.
[INFO ][memory ][Mon Oct 15 08:58:37 2018][1539586717516][31471] [YC#26878] 1529666.678-1529666.859: YC 16553114KB->8813638KB (25165824KB), 0.181 s, sum of pauses 179.492 ms, longest pause 179.492 ms.
[INFO ][memory ][Mon Oct 15 08:58:36 2018][1539586716554][22283] [YC#25590] 1529664.751-1529664.893: YC 16333905KB->8483625KB (25165824KB), 0.142 s, sum of pauses 140.143 ms, longest pause 140.143 ms.
[INFO ][memory ][Mon Oct 15 08:58:19 2018][1539586699909][39702] [OC#12478] 1529648.774-1529649.300: OC 15983638KB->4326431KB (25165824KB), 0.527 s, sum of pauses 484.140 ms, longest pause 484.140 ms.
[INFO ][memory ][Mon Oct 15 08:58:10 2018][1539586690277][22283] [YC#25589] 1529638.512-1529638.688: YC 15460391KB->7628733KB (25165824KB), 0.176 s, sum of pauses 173.761 ms, longest pause 173.761 ms.
[INFO ][memory ][Mon Oct 15 08:58:09 2018][1539586689113][31471] [YC#26877] 1529638.319-1529638.535: YC 15684484KB->7962477KB (25165824KB), 0.216 s, sum of pauses 213.841 ms, longest pause 213.841 ms.
[INFO ][memory ][Mon Oct 15 08:57:54 2018][1539586674840][39702] [YC#25436] 1529624.120-1529624.300: YC 15783477KB->8091706KB (25165824KB), 0.179 s, sum of pauses 176.395 ms, longest pause 176.395 ms.
